시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일
광진구,11215000369,구립 자양이스트폴어린이집,국공립,정상,5050,서울특별시 광진구 뚝섬로 717 구립 자양이스트폴어린이집,02-6212-7679,,,9,793,1,0,2,98,0,37.53465627,127.088955,,2025-05-01,,,,2025-04-24,장애아통합,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,2,14:44.0
광진구,11215000368,구립 해달별어린이집,국공립,정상,5048,서울특별시 광진구 구의강변로3가길 39 701동 102호,02-455-7516,,,4,85,1,4,8,19,19,37.53676083,127.0909687,미운영,2025-03-01,,,,2025-04-24,일반,2,2,1,0,0,0,0,0,0,5,4,8,7,0,0,0,0,0,0,19,100,0,0,0,0,1,6,0,0,0,0,0,1,0,8,14:44.0
광진구,11215000366,구립 새벽어린이집,국공립,정상,4947,서울특별시 광진구 영화사로 53 1층,02-458-5279,,,3,74,0,6,9,21,20,37.55566257,127.0925308,미운영,2024-02-01,,,,2025-04-24,일반,1,1,1,0,0,0,4,0,0,7,3,5,6,0,0,0,6,0,0,20,38,63,0,0,0,1,7,0,0,0,0,0,1,0,9,14:44.0
광진구,11215000365,구립 자양롯데캐슬어린이집,국공립,정상,5080,서울특별시 광진구 뚝섬로 467,02-6082-0467,02-6083-0467,,5,252,3,9,13,50,49,37.53744095,127.063639,미운영,2023-09-01,,,,2025-04-24,일반,4,4,4,2,1,0,0,1,0,16,6,10,12,9,12,0,0,0,0,49,36,64,0,0,0,1,11,0,0,0,0,0,1,0,13,14:44.0
광진구,11215000364,광진구육아종합지원센터(꾸미팡팡공동육아방 3호점),국공립,정상,4999,서울특별시 광진구 동일로56가길 31 3층,02-466-1827,,,0,160,0,0,0,0,0,,,,2022-10-11,,,,2022-10-26,시간제보육,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,02:15.0
광진구,11215000362,구립 광진그랜드파크어린이집,국공립,정상,5022,서울특별시 광진구 광나루로 458 어린이집,02-469-1956,02-497-0681,,5,176,1,15,11,57,37,37.54370562,127.0812344,미운영,2022-02-01,,,,2025-04-24,일반,2,3,3,0,0,0,0,0,0,8,3,15,19,0,0,0,0,0,0,37,33,11,56,0,0,1,9,0,0,0,0,0,1,0,11,14:44.0
광진구,11215000361,구립 자양호반써밋어린이집,국공립,정상,5074,"서울특별시 광진구 능동로 69 어린이집(자양동,자양호반써밋)",02-466-7563,02-466-7563,,3,89,2,11,10,33,30,37.53751475,127.0686119,미운영,2021-10-01,,,,2025-04-24,야간연장형,2,2,2,0,0,0,0,0,0,6,6,10,14,0,0,0,0,0,0,30,0,38,63,0,0,1,8,0,0,0,0,0,1,0,10,14:44.0
광진구,11215000359,구립 중곡하나어린이집,국공립,정상,4905,서울특별시 광진구 동일로76길 59,02-465-1004,02-465-1005,,5,110,1,14,12,38,37,37.56807936,127.0819513,미운영,2021-06-01,,,,2025-04-24,야간연장형,3,2,2,1,0,0,0,0,0,8,6,9,13,9,0,0,0,0,0,37,0,0,100,0,0,1,9,0,0,0,0,0,1,0,12,14:44.0
광진구,11215000360,구립 자양도담어린이집,국공립,정상,5054,서울특별시 광진구 아차산로44가길 5 (자양동 231-51),02-455-7000,02-455-7887,,11,280,3,24,15,85,46,37.53617752,127.0799463,미운영,2021-06-01,,,,2025-04-24,일반,3,3,2,1,0,1,0,2,0,12,6,15,14,0,0,0,0,11,0,46,25,17,58,0,0,1,12,0,0,0,0,0,1,0,15,14:44.0
광진구,11215000358,구립 샘물어린이집,국공립,정상,5105,서울특별시 광진구 뚝섬로58길 56 101호,02-3437-7737,02-3437-7737,,3,54,0,4,9,20,19,37.52978908,127.0852667,미운영,2020-10-01,,,,2025-04-24,일반,3,1,0,0,0,0,2,0,0,6,9,0,0,0,0,0,10,0,0,19,0,17,33,50,0,1,6,0,0,0,0,0,1,0,9,14:44.0
