시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,광장초등학교,서울특별시 광진구 광장로1길 27,서울특별시 광진구 광장동 389-1,37.5485492,127.1017999,서울특별시 광진구청,서울광진경찰서,Y,5,,2024-10-31
초등학교,구의초등학교,서울특별시 광진구 광나루로30길 49,서울특별시 광진구 화양동 303-9,37.5430074,127.0803118,서울특별시 광진구청,서울광진경찰서,Y,7,,2024-10-31
초등학교,동의초등학교,서울특별시 광진구 영화사로 111,서울특별시 광진구 구의2동 4-5,37.5534224,127.0990473,서울특별시 광진구청,서울광진경찰서,Y,7,,2024-10-31
초등학교,동자초등학교,서울특별시 광진구 뚝섬로 561,서울특별시 광진구 자양3동 518-1,37.5350582,127.0721792,서울특별시 광진구청,서울광진경찰서,Y,3,,2024-10-31
초등학교,신자초등학교,서울특별시 광진구 뚝섬로46길 64,서울특별시 광진구 자양2동 591,37.5302455,127.0755876,서울특별시 광진구청,서울광진경찰서,Y,7,,2024-10-31
초등학교,자양초등학교,서울특별시 광진구 아차산로 44길 26,서울특별시 광진구 자양1동 222,37.536965,127.0797396,서울특별시 광진구청,서울광진경찰서,Y,5,,2024-10-31
초등학교,장안초등학교,서울특별시 광진구 군자로 74,서울특별시 광진구 군자동 365-1,37.5498765,127.0724025,서울특별시 광진구청,서울광진경찰서,Y,6,,2024-10-31
초등학교,양남초등학교,서울특별시 광진구 뚝섬로 64길 71,서울특별시 광진구 자양2동 692,37.5311232,127.0892343,서울특별시 광진구청,서울광진경찰서,Y,4,,2024-10-31
초등학교,용마초등학교,서울특별시 광진구 천호대로 113길 10,서울특별시 광진구 중곡2동 135-1,37.5578274,127.0835274,서울특별시 광진구청,서울광진경찰서,Y,10,,2024-10-31
초등학교,성동초등학교,서울특별시 광진구 자양로4길 63,서울특별시 광진구 자양2동 694-1,37.5332814,127.089281,서울특별시 광진구청,서울광진경찰서,Y,4,,2024-10-31
초등학교,경복초등학교,서울특별시 광진구 천호대로130길 58,서울특별시 광진구 능동 25,37.5498139,127.0867934,서울특별시 광진구청,서울광진경찰서,Y,4,,2024-10-31
초등학교,광남초등학교,서울특별시 광진구 아차산로 70길 35,서울특별시 광진구 광장동 554,37.5407881,127.1006653,서울특별시 광진구청,서울광진경찰서,Y,3,,2024-10-31
초등학교,구남초등학교,서울특별시 광진구 구의강변로 69,서울특별시 광진구 구의3동 587-52,37.5370966,127.0922888,서울특별시 광진구청,서울광진경찰서,Y,10,,2024-10-31
초등학교,성자초등학교,서울특별시 광진구 뚝섬로56길 7,서울특별시 광진구 자양2동 662,37.5314936,127.0834083,서울특별시 광진구청,서울광진경찰서,Y,8,,2024-10-31
초등학교,세종초등학교,서울특별시 광진구 군자로 114,서울특별시 광진구 군자동 111-3,37.5530111,127.0728646,서울특별시 광진구청,서울광진경찰서,Y,2,,2024-10-31
초등학교,신양초등학교,서울특별시 광진구 능동로 42,서울특별시 광진구 자양3동 504,37.5346821,127.0699953,서울특별시 광진구청,서울광진경찰서,Y,5,,2024-10-31
초등학교,용곡초등학교,서울특별시 광진구 용마산로22길 82,서울특별시 광진구 중곡4동 176-1,37.5671086,127.088453,서울특별시 광진구청,서울광진경찰서,Y,9,,2024-10-31
초등학교,중광초등학교,서울특별시 광진구 긴고랑로13길 59,서울특별시 광진구 중곡3동 220-22,37.5652421,127.082693,서울특별시 광진구청,서울광진경찰서,Y,9,,2024-10-31
초등학교,중마초등학교,서울특별시 광진구 동일로 72길 43,서울특별시 광진구 중곡3동 191-69,37.5657908,127.0790239,서울특별시 광진구청,서울광진경찰서,Y,6,,2024-10-31
초등학교,광진초등학교,서울특별시 광진구 자양로 40길 41,서울특별시 광진구 구의2동 60-44,37.547682,127.0913325,서울특별시 광진구청,서울광진경찰서,Y,7,,2024-10-31
초등학교,양진초등학교,서울특별시 광진구 워커힐로 32,서울특별시 광진구 광장동 414-1,37.5445752,127.0983114,서울특별시 광진구청,서울광진경찰서,Y,5,,2024-10-31
유치원,광남유치원,서울특별시 광진구 아차산로70길 40 (광장동),서울특별시 광진구 광장동 484,37.5416266,127.1006983,서울특별시 광진구청,서울광진경찰서,Y,1,,2024-10-31
유치원,선경유치원,서울특별시 광진구 뚝섬로 66길 14,서울특별시 광진구 자양동 694-1,37.533396,127.0897851,서울특별시 광진구청,서울광진경찰서,Y,1,,2024-10-31
유치원,어린이회관유치원,서울특별시 광진구 광나루로 441,서울특별시 광진구 능동 1811,37.547246,127.0783044,서울특별시 광진구청,서울광진경찰서,Y,1,,2024-10-31
유치원,성산유치원,서울특별시 광진구 뚝섬로 59길 18(자양동),서울특별시 광진구 자양동 658-1,37.5329088,127.0841775,서울특별시 광진구청,서울광진경찰서,Y,2,,2024-10-31
유치원,슬기유치원,서울특별시 광진구 자양로 296 (구의동),서울특별시 광진구 구의동 31-18,37.552015,127.0925744,서울특별시 광진구청,서울광진경찰서,Y,1,,2024-10-31
유치원,대원(구.우성)유치원,서울특별시 광진구 뚝섬로 41길 20,서울특별시 광진구 자양동 579,37.5345769,127.075652,서울특별시 광진구청,서울광진경찰서,Y,2,,2024-10-31
