"동별(1)","항목",2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","계",9605419,208596,291269,357817,380655,584967,823767,818905,667860,736894,690023,798091,731496,711169,632921,433075,334403,235015,118448,39104,9374,1570,9597372,207542,286741,356567,381258,581606,818212,822127,669306,727806,691254,794160,730403,705495,640195,439509,337947,235361,120587,40193,9577,1526
"합계","한국인",9350995,204196,285344,353284,371958,539933,783553,793613,644640,717964,674268,779949,711784,697961,626232,430307,333437,234584,118161,38975,9324,1528,9331828,202897,280883,352036,368731,530569,777691,796699,645966,708639,675311,775758,710310,692690,633549,436781,336990,234945,120305,40067,9527,1484
"합계","등록외국인",254424,4400,5925,4533,8697,45034,40214,25292,23220,18930,15755,18142,19712,13208,6689,2768,966,431,287,129,50,42,265544,4645,5858,4531,12527,51037,40521,25428,23340,19167,15943,18402,20093,12805,6646,2728,957,416,282,126,50,42
"종로구","계",150011,2477,3561,4675,5556,12261,14696,12135,9164,10243,9643,12479,11902,11621,9774,6466,5408,4384,2445,855,220,46,149608,2449,3497,4644,5595,12174,14573,12207,9177,10034,9658,12328,11884,11548,9874,6532,5421,4351,2509,889,223,41
"종로구","한국인",138879,2288,3326,4447,5094,8847,12358,11233,8394,9545,9132,12004,11534,11353,9621,6408,5375,4369,2436,850,219,46,138336,2254,3257,4420,4958,8639,12324,11326,8428,9340,9147,11851,11525,11293,9723,6478,5389,4337,2500,884,222,41
"종로구","등록외국인",11132,189,235,228,462,3414,2338,902,770,698,511,475,368,268,153,58,33,15,9,5,1,-,11272,195,240,224,637,3535,2249,881,749,694,511,477,359,255,151,54,32,14,9,5,1,-
"중구","계",131589,2801,3069,3108,3564,8214,12418,13085,10487,9739,8263,10037,10051,10041,9080,6027,4865,3778,2007,732,195,28,131214,2775,3048,3057,3604,8309,12314,13055,10551,9602,8238,9895,9971,9942,9075,6133,4865,3778,2045,735,198,24
"중구","한국인",121324,2597,2783,2855,3185,6490,10515,12052,9532,8978,7613,9388,9438,9640,8844,5909,4824,3747,1988,725,195,26,120544,2562,2754,2803,3080,6346,10431,12014,9582,8837,7579,9235,9345,9568,8841,6021,4824,3747,2027,728,198,22
"중구","등록외국인",10265,204,286,253,379,1724,1903,1033,955,761,650,649,613,401,236,118,41,31,19,7,-,2,10670,213,294,254,524,1963,1883,1041,969,765,659,660,626,374,234,112,41,31,18,7,-,2
"용산구","계",218370,5268,6288,6900,7346,11592,18595,22111,17874,17608,15015,18071,16631,15821,13335,8714,6900,5480,3291,1177,293,60,217194,5230,6221,6820,7293,11504,18342,22145,17865,17345,14897,17848,16577,15700,13504,8779,6881,5405,3311,1189,282,56
"용산구","한국인",205145,4797,5580,6243,6839,10866,17407,20545,16183,15990,13717,17063,15854,15342,13091,8575,6821,5441,3269,1175,291,56,203854,4732,5518,6154,6762,10635,17140,20582,16204,15751,13606,16844,15813,15219,13269,8647,6803,5367,3289,1187,280,52
"용산구","등록외국인",13225,471,708,657,507,726,1188,1566,1691,1618,1298,1008,777,479,244,139,79,39,22,2,2,4,13340,498,703,666,531,869,1202,1563,1661,1594,1291,1004,764,481,235,132,78,38,22,2,2,4
"성동구","계",282385,7727,8662,8392,9519,18209,24652,25442,22178,22125,18690,22822,21883,21259,17792,11755,9246,7016,3604,1131,241,40,281289,7669,8494,8309,9546,18253,24341,25524,22172,21850,18646,22503,21764,20973,17980,11814,9362,7008,3638,1158,246,39
"성동구","한국인",275403,7625,8575,8325,9304,16474,23151,24729,21623,21718,18359,22448,21435,21029,17681,11684,9232,7007,3600,1129,240,35,273669,7563,8411,8237,9094,16106,22847,24802,21622,21435,18319,22134,21318,20751,17867,11745,9348,7001,3634,1156,245,34
"성동구","등록외국인",6982,102,87,67,215,1735,1501,713,555,407,331,374,448,230,111,71,14,9,4,2,1,5,7620,106,83,72,452,2147,1494,722,550,415,327,369,446,222,113,69,14,7,4,2,1,5
"광진구","계",349307,6179,8684,11328,13006,26614,38738,33559,24134,24932,23400,27637,26674,25404,21510,13875,10620,7615,3800,1248,297,53,348652,6122,8553,11205,13132,26674,38436,33529,24237,24605,23386,27305,26623,25102,21774,14172,10678,7568,3921,1273,308,49
"광진구","한국인",333403,5911,8387,11041,12265,22206,35399,32182,23053,24152,22763,26922,25733,24785,21250,13768,10598,7606,3790,1244,297,51,331963,5835,8263,10915,12071,21759,35128,32184,23170,23805,22724,26598,25665,24512,21517,14067,10657,7558,3911,1269,308,47
"광진구","등록외국인",15904,268,297,287,741,4408,3339,1377,1081,780,637,715,941,619,260,107,22,9,10,4,-,2,16689,287,290,290,1061,4915,3308,1345,1067,800,662,707,958,590,257,105,21,10,10,4,-,2
"동대문구","계",359219,7821,10048,10859,12628,32525,35840,28915,23704,25680,23073,27241,26024,25795,23411,16209,12978,9793,4829,1477,315,54,358603,7703,9852,10781,12851,33127,35505,29132,23583,25297,22921,26957,25875,25437,23645,16373,13079,9696,4860,1557,322,50
"동대문구","한국인",340686,7624,9873,10755,11893,25496,30691,27251,22756,25099,22656,26797,25536,25467,23264,16139,12954,9779,4817,1472,313,54,338735,7493,9681,10679,11591,25034,30509,27501,22644,24739,22514,26515,25399,25122,23500,16305,13056,9682,4849,1552,320,50
"동대문구","등록외국인",18533,197,175,104,735,7029,5149,1664,948,581,417,444,488,328,147,70,24,14,12,5,2,-,19868,210,171,102,1260,8093,4996,1631,939,558,407,442,476,315,145,68,23,14,11,5,2,-
"중랑구","계",386131,8312,10132,11539,12384,19347,30492,33179,26405,27894,25065,31272,33357,34505,29879,19825,14887,10618,5011,1599,370,59,385349,8192,10006,11405,12335,19119,30224,33245,26427,27524,25053,31002,33149,34176,30365,20208,15091,10625,5123,1642,378,60
